login;birthday
W0201N15912;19.08.1980
W0201N15914;20.09.1986
W0201N15915;09.10.1989
W0201N16036;28.02.1999
W0201N16039;06.04.1986
W0201N16044;22.06.1973
W0201N16062;25.12.1976
W0201N16114;13.07.1986
W0201N16126;23.08.2001
W0201N16128;02.01.1995
W0201N16145;08.05.1991
W0201N16167;13.06.1982
W0201N16257;20.08.1975
W0201N16274;01.02.1983
W0201N16275;18.08.1993
W0201N16282;01.08.1988
W0201N16283;05.09.1992
W0201N16468;15.10.1983
W0201N16521;28.05.1992
W0201N16541;03.05.1986
W0201N16594;18.07.2000
W0201N16617;09.09.1992
W0201N16732;13.03.1998
W0201N16788;10.08.1981
W0201N16811;17.04.1981
W0201N16895;07.05.1976
W0201N16928;21.09.1970
W0201N17137;03.10.1989
W0201N17151;11.10.1973
W0201N17294;14.02.1987
W0201N17313;11.08.1988
W0201N17384;08.09.1986
W0201N17472;12.04.1979
W0201N17506;18.10.1982
W0201N17627;24.05.1985
W0201N17628;20.12.1991
W0201N17631;18.09.1985
W0201N17632;18.02.1981
W0201N17770;20.02.2000
W0201N17794;13.05.1979
W0201N17796;17.08.1983
W0201N17812;14.09.1997
W0201N17838;18.01.1998
W0201N17950;26.04.1981
W0201N17971;07.06.2000
W0201N17990;18.04.1987
W0201N18234;30.04.1986
W0201N18255;30.03.1996
W0201N18355;12.04.1988
W0201N18417;22.11.1997
W0201N18419;11.12.1972
W0201N18435;14.02.2001
W0201N18506;04.03.2000
W0201N18517;10.04.2001
W0201N18557;27.12.1979
W0201N18611;13.01.2003
W0201N18714;12.06.1987
W0201N18730;11.12.1996
W0201N18754;06.03.1986
W0201N18771;28.05.2001
W0201N18789;09.02.1989
W0201N18802;12.08.1980
W0201N18846;22.06.1983
W0201N19143;06.12.2001
W0201N19171;17.03.2001
W0201N19177;07.10.1991
W0201N19182;06.10.1999
W0201N19201;27.11.1996
W0201N19202;12.03.1993
W0201N19203;25.01.1994
W0201N19204;23.12.1994
W0201N19205;09.07.1983
W0201N19230;26.04.1993
W0201N19231;20.01.1998
W0201N19266;23.10.1985
W0201N19286;15.09.1973
W0201N19446;07.06.1988
W0201N19448;08.03.1970
W0201N19464;25.11.1964
W0201N19465;21.08.1992
W0201N19477;22.12.1965
W0201N19493;14.02.1990
W0201N19494;05.12.1984
W0201N19522;11.03.1989
W0201N19527;22.06.1972
W0201N19528;22.02.1986
W0201N19529;21.05.1993
W0201N19532;07.02.1984
W0201N19545;20.05.1994
W0201N19682;02.12.1970
W0201N19683;11.05.1978
W0201N19684;23.07.1990
W0201N19685;11.07.1971
W0201N19686;29.11.1982
W0201N19688;18.02.1966
W0201N19689;01.11.1981
W0201N19784;12.06.1986
W0201N20264;01.01.1963
W0201N20265;01.02.1990
W0201N20293;28.02.1978
W0201N20302;18.08.1987
W0201N20303;03.07.1995
W0201N20304;17.12.1991
W0201N20305;07.08.1984
W0201N20306;17.06.1985
W0201N20307;20.02.1986
W0201N20308;18.10.1994
W0201N20309;28.10.1996
W0201N20311;10.09.1990
W0201N20312;30.10.1988
W0201N20318;11.10.1990
W0201N20321;14.10.1988
W0201N20328;07.03.1996
W0201N20375;07.01.1990
W0201N20393;10.06.1995
W0201N20394;12.07.1978
W0201N20412;17.09.1998
W0201N20413;05.04.2002
W0201N20482;15.12.2002
W0201N20566;18.08.1984
W0201N20581;13.02.1981
W0201N20593;04.01.1971
W0201N20594;31.10.1981
W0201N20595;19.10.1986
W0201N20602;18.03.1983
W0201N20605;14.06.1989
W0201N20608;23.03.1987
W0201N20640;18.05.1997
W0201N20642;04.11.2001
W0201N20668;29.10.1990
W0201N20683;26.09.1984
W0201N20699;16.08.1988
W0201N20740;29.07.1995
W0201N20749;12.05.2003
W0201N20750;17.11.1988
W0201N20753;25.07.1991
W0201N20754;28.07.1989
W0201N20775;24.01.1984
W0201N20777;14.03.1987
W0201N20791;09.07.1996
W0201N20796;24.02.1991
W0201N20824;07.07.1998
W0201N20844;01.08.1987
W0201N20845;06.06.1986
W0201N20846;02.08.2002
W0201N20877;10.09.1999
W0201N20887;25.11.1997
W0201N20902;04.03.1991
W0201N20905;14.05.1995
W0201N20920;06.07.1999
W0201N20921;13.12.1993
W0201N20922;03.08.1966
W0201N20923;23.05.2002
W0201N20938;01.01.2002
W0201N20939;06.06.1993
W0201N20982;11.04.1995
W0201N21033;14.05.1997
W0201N21066;20.04.1982
W0201N21067;26.09.1992
W0201N21096;07.12.1993
W0201N21104;05.04.1993
W0201N21143;19.12.1971
W0201N21160;04.05.1991
W0201N21165;15.11.1989
W0201N21173;02.07.1987
W0201N21174;22.01.1982
W0201N21185;10.01.1985
W0201N21187;28.01.1998
W0201N21417;06.02.1975
W0201N21418;05.09.2002
W0201N21440;24.02.1986
W0201N21468;28.12.1986
W0201N21469;30.01.1993
W0201N21477;22.02.1998
W0201N21478;11.01.1958
W0201N21532;25.01.1998
W0201N21570;14.12.1986
W0201N21589;19.09.1990
W0201N21593;27.07.1982
W0201N21633;14.06.1997
W0201N21636;10.10.1986
W0201N21647;16.04.1980
W0201N21686;27.05.1986
W0201N21687;07.09.1990
W0201N21688;12.10.1985
W0201N21689;12.07.2001
W0201N21690;10.09.2000
W0201N21706;26.07.2000
W0201N21721;28.04.1963
W0201N21766;12.04.1979
W0201N21768;24.01.1984
W0201N21844;21.10.1988
W0201N21927;28.03.2002
W0201N21934;14.05.1983
W0201N22066;29.09.1992
W0201N22257;11.04.1995
W0201N22296;08.06.1993
W0201N22300;28.05.1983
W0201N22379;23.07.1987
W0201N22381;01.07.1976
W0201N22395;05.06.1988
W0201N22399;10.12.1981
W0201N22406;17.09.1988
W0201N22413;11.01.1983
W0201N3467;07.03.1988 11:00
W0201N410;20.02.1983 23:00
W0201N4422;03.05.1991 11:00
W0201N5227;23.03.1983
W0201N529;18.04.1969 23:00
W0201N5331;06.09.1973
W0201N5779;31.01.1971
W0201N6092;18.08.1974
W0201N6518;28.08.2013
W0201N6567;20.10.1988
W0201N6736;01.11.1953
W0201N7119;12.08.1994
W0201N7536;10.01.1992
W0201N7710;07.10.1984
W0201N8194;01.03.1991
W0201N8207;29.10.1988
W0201N8550;15.03.1988
W0201N8668;01.01.1982
W0201N8758;25.08.1992
W0201N9315;16.01.1979
W0201N9371;22.04.1996
W0201N9376;23.12.1979
W0201N9538;29.11.1976
W0201N9676;01.10.1986
W0201N9887;29.03.1992
W0201N9901;15.11.1988
W0301N1449;19.02.1983
W0301N1583;05.04.1984
W0301N1614;23.07.1960
W0301N1960;28.11.1982
W0301N2092;07.06.1988
W0301N2219;30.03.1986
W0301N2452;12.01.1985
W0301N2754;02.07.1978
W0301N2765;05.02.1993
W0301N2908;25.01.1994
W0301N291;26.09.1984 23:00
W0301N2911;15.08.1992
W0301N2949;19.09.1985
W0301N2956;04.06.1985
W0301N3010;16.02.1984
W0301N3030;21.10.1992
W0301N3073;28.10.1983
W0301N3136;08.09.1982
W0301N3138;04.09.1966
W0301N3145;14.04.1993
W0301N3335;13.02.1982
W0301N3408;03.10.1998
W0301N3412;04.06.1986
W0301N3475;04.06.1991
W0301N3564;07.07.1996
W0301N3565;23.11.1986
W0301N3755;08.03.1973
W0301N3940;29.10.1989
W0301N3993;03.06.1970
W0301N4083;01.06.1983
W0301N4095;19.11.1977
W0301N4182;07.05.1976
W0301N4235;22.09.1989
W0301N4257;19.06.1997
W0301N4297;27.09.1997
W0301N4302;24.12.1986
W0301N4320;20.11.1993
W0301N4385;26.02.1995
W0301N4464;16.11.1984
W0301N4577;04.02.1997
W0301N4682;17.11.1985
W0301N4753;13.08.1981
W0301N4966;23.12.1987
W0301N5026;19.09.1986
W0301N5032;28.04.1995
W0301N5070;13.07.1997
W0301N5109;20.10.1990
W0301N5132;16.07.1991
W0301N515;04.10.1980 23:00
W0301N532;13.05.1987 23:00
W0301N5418;07.01.1994
W0301N5444;26.09.1980
W0301N5473;25.10.1987
W0301N5571;21.02.1983
W0301N5613;25.12.1992
W0301N5629;17.02.1979
W0301N575;05.11.1978
W0301N6066;28.07.1990
W0301N6082;18.12.1970
W0301N6098;13.09.2001
W0301N6166;15.11.1984
W0301N6167;20.11.1986
W0301N6189;19.04.2002
W0301N6216;07.07.1967
W0301N6275;21.11.1988
W0301N6349;09.07.1986
W0301N6367;15.05.1980
W0301N644;08.12.1970 23:00
W0301N6474;12.01.2001
W0301N6492;19.01.1999
W0301N6518;29.11.2002
W0301N6519;06.12.2003
W0301N6533;05.11.1986
W0301N6534;01.07.1987
W0301N6563;14.03.1996
W0301N806;16.07.1978 23:00
W03226;15.06.1979 23:00
W0401N1005;12.07.1993
W0401N1048;16.06.1995
W0401N1113;08.07.1989
W0401N1260;06.11.1992
W0401N462;17.08.1991 11:00
W0401N535;19.10.1985
W0401N627;24.06.1990
W0401N633;26.08.1986
W0401N643;10.07.1992
W0401N753;10.11.1991
W0401N788;12.07.1991
W0401N798;06.07.1993
W0401N913;09.11.1992
W0401N968;14.07.1994
W0701N1060;13.03.1986 23:00
W0701N1563;05.07.1986 23:00
W0701N1565;06.10.1989 23:00
W0701N1574;10.05.1988 11:00
W0701N1588;30.12.1987 11:00
W0701N1612;08.06.1985
W0701N1613;01.01.1989
W0701N1636;13.03.1992
W0701N1640;16.12.1981
W0701N1643;16.03.1984
W0701N1656;14.12.1988
W0701N1673;18.08.1992
W0701N1701;29.09.1991
W0701N1718;26.05.1980
W0701N1726;13.05.1985
W0701N2077;02.02.1982
W0701N2103;10.06.1985
W0701N2180;18.12.1987
W0701N2225;28.05.1964
W0701N2360;13.05.1974
W0701N2393;04.05.1987
W0701N2485;12.06.1985
W0701N2486;26.10.1964
W0701N2494;18.06.1981
W0701N2533;08.08.1986
W0701N2559;19.04.1979
W0701N2561;04.11.1988
W0701N2599;12.03.2000
W0701N2673;02.12.1998
W0701N2675;28.07.1986
W0701N2749;14.05.2001
W0701N2769;19.05.1987
W0701N2791;03.09.1976
W0701N2797;09.05.1983
W0701N2798;02.02.1996
W0701N2852;19.07.1995
W0701N2853;04.01.1977
W0701N2907;03.09.1983
W0701N2909;15.09.1978
W0701N2916;15.04.1981
W0701N2983;18.08.1992
W0701N2987;05.03.1994
W0701N2997;12.03.1992
W0701N3010;30.10.1959
W0701N3011;05.06.1996
W0701N3045;05.02.1996
W0701N3109;23.10.1988
W0701N3149;11.08.1984
W0701N3150;01.01.1983
W0701N3215;01.04.1992
W0701N3306;05.04.2002
W0701N55;29.09.1988 23:00
W0802N1014;05.03.1991
W0802N1249;23.06.1991
W0802N1393;01.04.1987
W0802N143;07.08.1989 23:00
W0802N33;08.02.1991
W0802N347;02.10.1987
W0802N509;22.03.1990
W0802N632;04.08.1988
W0802N677;28.05.1994
W0802N684;05.03.1989
W0802N726;07.01.1986
W0802N747;01.03.1994
W0802N749;18.12.1979
W0802N775;07.10.1991
W0802N877;14.06.1989
W0802N888;10.01.1989
W0802N9;08.01.1983
W0802N951;07.01.1994
W0901N1043;24.12.1989
W0901N1053;11.04.1986
W0901N1061;26.08.1987
W0901N1070;21.08.1994
W0901N1071;13.06.1992
W0901N1079;27.07.1996
W0901N1092;03.07.1988
W0901N1141;24.08.1994
W0901N1153;09.08.1959
W0901N1159;22.07.1982
W0901N1167;26.08.1996
W0901N1174;17.06.1995
W0901N1196;19.05.1992
W0901N1197;18.10.1991
W0901N1221;28.04.1993
W0901N1222;08.11.1981
W0901N1226;03.08.1969
W0901N1227;12.12.1989
W0901N1237;05.06.1991
W0901N1249;20.03.1974
W0901N1255;17.09.1979
W0901N1256;10.02.1999
W0901N1291;11.07.1984
W0901N1295;26.06.1984
W0901N1310;22.01.1975
W0901N1315;04.12.1996
W0901N1319;26.01.1988
W0901N1357;20.12.1995
W0901N1376;10.12.1999
W0901N1427;28.06.1965
W0901N1451;01.07.1980
W0901N192;24.07.1982
W0901N198;04.04.1973
W0901N309;09.08.1991 11:00
W0901N32;17.02.1979
W0901N342;13.02.1994 11:00
W0901N366;02.06.1992
W0901N374;14.04.1994
W0901N383;14.05.1992
W0901N41;03.09.1976 23:00
W0901N43;06.12.1988 23:00
W0901N463;05.12.1984
W0901N47;23.05.1993 23:00
W0901N490;04.06.1997
W0901N50;13.03.1985
W0901N503;23.02.1992
W0901N522;12.01.1975
W0901N552;15.06.1994
W0901N566;22.05.1969
W0901N603;06.06.1988
W0901N617;20.03.1996
W0901N618;18.04.1987
W0901N622;26.07.1986
W0901N623;04.01.1985
W0901N631;26.11.1994
W0901N634;22.05.1995
W0901N667;07.03.1989
W0901N714;30.12.1975
W0901N715;28.10.1984
W0901N723;22.07.1990
W0901N733;08.01.1986
W0901N75;24.10.1975 23:00
W0901N827;05.07.1982
W0901N832;07.07.1998
W0901N867;11.10.1994
W0901N883;26.01.1996
W0901N887;30.07.1985
W0901N892;10.04.1997
W0901N907;29.11.1986
W0901N936;18.04.1992
W0901N951;05.10.1992
W0901N957;15.08.1989
W0901N97;27.08.1973
W0901N973;26.04.1987
W0901N976;25.02.1994
W0901N990;15.07.1985
W1001N1029;31.10.1986 23:00
W1001N1091;19.05.1975
W1001N1328;11.09.1981 23:00
W1001N1469;14.09.1981
W1001N1561;30.01.1974 23:00
W1001N1985;25.05.1993
W1001N2085;24.04.1976
W1001N2156;12.04.1984
W1001N2192;28.01.1993
W1001N2309;13.09.1976
W1001N2440;18.12.1976
W1001N2454;24.10.1970
W1001N2488;12.11.1986
W1001N2527;20.05.1981
W1001N2580;23.01.1993
W1001N2668;07.11.1981
W1001N2714;01.08.1957
W1001N2862;25.04.1983
W1001N2923;17.09.1985
W1001N2961;14.09.1973
W1001N2973;29.09.1986
W1001N3056;10.03.1996
W1001N3264;14.03.1989
W1001N3413;26.07.1989
W1001N3437;23.09.1980
W1001N3485;05.04.1981
W1001N3495;19.03.1986
W1001N3505;07.11.1996
W1001N3551;31.10.1996
W1001N3560;11.11.1981
W1001N3623;25.04.1996
W1001N3632;18.03.1986
W1001N3761;02.02.1999
W1001N3778;20.03.1977
W1001N3842;03.10.1995
W1001N3904;22.07.1998
W1001N3906;12.02.1974
W1001N3933;12.05.1984
W1001N3942;24.03.1974
W1001N3949;29.01.1985
W1001N3954;10.10.1976
W1001N3994;25.11.1989
W1001N4011;17.02.1985
W1001N4055;11.09.2000
W1001N4096;30.09.1981
W1001N4153;29.11.2001
W1001N4171;13.06.1974
W1001N4172;30.11.1999
W1001N4207;04.08.1990
W1001N4208;06.03.2001
W1001N4220;06.12.1992
W1001N4297;19.09.1987
W1001N4331;14.01.2002
W1001N4351;02.03.2001
W1001N4363;15.08.2001
W1001N4365;19.01.1991
W1001N4367;21.02.1997
W1001N4375;02.06.1967
W1001N4378;25.06.1999
W1001N4403;14.05.1978
W1001N4412;28.08.1977
W1001N4418;02.08.1982
W1001N4485;12.03.2002
W1001N449;31.08.1988 23:00
W1001N4509;08.06.1985
W1001N4510;23.12.1976
W1001N4625;14.10.1996
W1001N4651;17.02.2002
W1001N4709;28.06.2000
W1001N4761;03.11.1987
W1001N4876;29.11.1975
W1001N489;13.08.1986 23:00
W1001N4935;21.07.1981
W1001N684;16.04.1965 23:00
W1001N706;15.03.1975 23:00
W1101N1019;31.07.1983
W1101N1020;22.12.1981
W1101N1043;16.01.1975
W1101N1077;25.01.1982
W1101N1098;08.03.1985
W1101N1099;30.05.1960
W1101N1119;12.12.1958
W1101N1142;19.01.1981
W1101N1187;03.10.1983
W1101N1188;08.09.1986
W1101N1191;28.07.1974
W1101N1194;05.06.1981
W1101N1195;07.01.1976
W1101N1290;26.04.1989
W1101N1478;30.11.1989
W1101N1480;24.06.1987
W1101N1705;11.05.1974
W1101N1755;25.09.1985
W1101N1756;01.08.1990
W1101N1855;13.01.1986
W1101N1874;27.02.1979
W1101N2020;03.10.1990
W1101N2049;28.11.1986
W1101N2124;09.07.1968
W1101N2274;15.12.1977
W1101N2323;05.03.1984
W1101N2379;20.09.1985
W1101N2473;03.02.1990
W1101N2642;16.05.1984
W1101N2650;02.04.1984
W1101N2656;02.09.1979
W1101N2676;25.08.1987
W1101N2728;19.09.1975
W1101N2741;07.01.1973
W1101N2742;03.08.1989
W1101N2888;17.01.1990
W1101N2969;03.10.1982
W1101N2986;14.04.1985
W1101N2991;18.06.1991
W1101N3021;06.09.1979
W1101N3022;09.03.1990
W1101N3026;09.12.1988
W1101N3030;31.07.1991
W1101N3071;20.10.1979
W1101N3115;01.10.1980
W1101N3139;06.11.1978
W1101N3200;04.08.1983
W1101N3216;07.05.1980
W1101N3256;14.09.1983
W1101N3259;04.11.1986
W1101N3260;10.05.1982
W1101N3300;16.03.1982
W1101N3311;11.12.1988
W1101N3324;01.12.1993
W1101N3383;13.03.1994
W1101N3408;10.07.1987
W1101N3409;05.07.1969
W1101N3410;08.03.1974
W1101N3430;18.11.1994
W1101N3484;24.10.1986
W1101N3505;16.04.1976
W1101N3535;15.05.1981
W1101N3537;10.03.1981
W1101N3541;27.01.1987
W1101N3558;29.03.1982
W1101N3574;29.03.1983
W1101N3607;09.04.1982
W1101N3608;20.01.1987
W1101N3620;13.05.1981
W1101N3624;05.12.1981
W1101N3636;05.01.1987
W1101N3742;30.10.1989
W1101N3749;12.02.1981
W1101N3753;08.09.1980
W1101N3754;18.03.1989
W1101N3764;10.03.1988
W1101N3768;16.09.1990
W1101N3861;24.09.1994
W1101N3870;03.09.1986
W1101N4076;05.10.1981
W1101N4147;19.08.1970
W1101N4177;12.05.1980
W1101N4178;01.05.1991
W1101N4231;10.01.1979
W1101N4233;08.02.1984
W1101N4234;06.08.1980
W1101N4242;04.06.1982
W1101N4243;09.08.1995
W1101N4253;16.03.1993
W1101N4299;29.03.1983
W1101N4310;05.01.1976
W1101N4311;16.02.1972
W1101N4421;04.02.1990
W1101N4474;11.05.1988
W1101N4477;11.05.1983
W1101N4488;06.04.1988
W1101N4500;18.10.1989
W1101N4514;09.12.1979
W1101N4515;09.04.1971
W1101N4541;24.01.1984
W1101N4543;30.10.1980
W1101N4544;03.09.1986
W1101N4553;23.02.1982
W1101N4557;05.09.1977
W1101N4575;01.03.1996
W1101N4585;29.06.1970
W1101N4745;12.12.1969
W1101N4767;21.07.1991
W1101N4810;14.03.1984
W1101N4814;20.11.1979
W1101N4887;19.10.1985
W1101N4894;01.11.1987
W1101N4948;19.03.1982
W1101N4952;25.08.1989
W1101N4961;05.10.1978
W1101N5005;19.09.1986
W1101N5010;24.01.1986
W1101N5037;26.05.1980
W1101N5073;30.12.1990
W1101N5096;01.01.1999
W1101N5101;08.10.1983
W1101N5110;20.02.1982
W1101N5113;18.05.1984
W1101N5151;22.04.1982
W1101N5174;22.05.1995
W1101N5192;20.01.1977
W1101N5194;16.08.1971
W1101N5222;31.12.1975
W1101N5280;06.07.1996
W1101N5318;13.12.1984
W1101N5319;17.10.1991
W1101N5321;13.12.1999
W1101N5372;20.04.1996
W1101N5399;11.04.1981
W1101N5446;15.02.1989
W1101N5447;01.10.1979
W1101N5454;25.03.1989
W1101N5524;19.04.1986
W1101N5527;12.08.1984
W1101N5528;28.07.1983
W1101N5544;25.04.1992
W1101N5556;19.05.1975
W1101N5557;30.03.1993
W1101N5565;07.07.1982
W1101N5588;11.02.1996
W1101N5600;17.12.1983
W1101N5620;29.03.2001
W1101N5635;25.08.1989
W1101N5647;12.09.1967
W1101N5664;26.11.1998
W1101N5671;04.05.1992
W1101N5678;12.06.1983
W1101N5706;19.07.1970
W1101N5707;02.05.1989
W1101N5824;18.06.1978
W1101N5831;29.04.1987
W1101N5835;01.04.1977
W1101N5845;29.11.1985
W1101N5881;07.08.1995
W1101N5884;26.02.1984
W1101N5894;23.06.2000
W1101N5900;10.10.1992
W1101N5911;05.06.1982
W1101N5913;22.04.1992
W1101N5914;29.12.1985
W1101N5932;25.04.1991
W1101N5933;27.06.1974
W1101N5934;21.02.1985
W1101N5950;15.12.1985
W1101N5990;29.08.1985
W1101N5993;29.06.1994
W1101N5994;02.12.1992
W1101N6011;25.06.1983
W1101N6013;07.08.1974
W1101N6071;29.06.1983
W1101N6111;19.12.1981
W1101N6116;29.04.1991
W1101N6117;18.06.1958
W1101N6128;21.10.1984
W1101N6162;19.06.1966
W1101N6181;03.05.1988
W1101N6197;06.06.1997
W1101N6198;15.11.1995
W1101N6215;13.01.1988
W1101N6228;25.10.1991
W1101N6260;16.05.1990
W1101N6261;19.06.1998
W1101N6262;06.10.1971
W1101N6290;12.07.1984
W1101N6310;17.08.1985
W1101N6347;09.09.1989
W1101N6358;27.08.1993
W1101N6359;03.04.1998
W1101N6365;07.06.1994
W1101N6382;11.10.2000
W1101N6405;01.08.1990
W1101N6412;26.08.1980
W1101N6426;26.07.1995
W1101N6443;15.12.1983
W1101N6444;21.08.1992
W1101N6445;30.05.1988
W1101N6446;25.11.1976
W1101N6450;15.04.2000
W1101N6473;24.11.1994
W1101N6479;01.10.1997
W1101N6481;21.12.1986
W1101N6530;23.02.1986
W1101N6537;21.03.1978
W1101N6546;21.03.1997
W1101N6549;10.02.1974
W1101N6554;20.02.1997
W1101N6577;13.03.1976
W1101N6637;04.10.1983
W1101N900;15.01.1980
W1101N911;21.05.1972
W1101N919;12.02.1977
W1201N1392;01.10.1991
W1201N1438;09.05.1989
W1201N1753;29.06.1989
W1201N1821;30.08.1992
W1201N1877;07.07.1994
W1301N1075;21.09.1983
W1301N1107;25.08.1975
W1301N1117;17.10.1980
W1301N1181;30.03.1972
W1301N1197;24.07.1986
W1301N1445;16.01.1980
W1301N1625;03.01.1987
W1301N1818;01.07.1973
W1301N1938;25.03.1984
W1301N2190;20.12.1981
W1301N2220;29.12.1961
W1301N2301;01.01.1978
W1301N2741;03.04.1986
W1301N2768;09.01.1970
W1301N301;23.12.1985
W1301N3172;27.07.1966
W1301N3232;17.05.1983
W1301N3277;12.11.1995
W1301N3335;30.09.1997
W1301N3341;25.02.1961
W1301N3362;11.10.1982
W1301N3438;29.03.1988
W1301N3682;29.01.1990
W1301N3782;20.09.1983
W1301N3791;03.04.1978
W1301N3808;15.09.1990
W1301N3830;13.11.1971
W1301N3882;24.07.1971
W1301N4115;18.11.1985
W1301N4164;12.04.1980
W1301N4276;24.08.1989
W1301N4348;29.04.1976
W1301N4354;21.07.1987
W1301N4402;15.05.1986
W1301N4479;15.10.1999
W1301N4561;27.07.1987
W1301N4651;27.06.1992
W1301N4678;16.10.1990
W1301N4694;08.08.1996
W1301N4742;03.12.1981
W1301N4817;21.10.1983
W1301N4953;22.09.1980
W1301N4954;17.05.1983
W1301N4979;15.05.1984
W1301N4981;10.10.1986
W1301N5050;30.01.1986
W1301N5051;16.11.1975
W1301N5056;07.01.1994
W1301N5072;27.01.1976
W1301N5200;20.11.1967
W1301N5201;07.08.1973
W1301N5221;21.04.1983
W1301N5229;29.08.1994
W1301N5264;15.07.1982
W1301N5271;14.02.1976
W1301N5282;08.09.1979
W1301N5303;04.12.2000
W1301N5305;11.11.1979
W1301N5314;14.11.1978
W1301N5325;08.04.1986
W1301N5331;03.04.2002
W1301N5345;03.08.1967
W1301N5352;09.08.1988
W1301N5356;23.11.1971
W1301N5358;24.07.1992
W1301N851;16.10.1987 23:00
W1401N1262;08.12.1968
W1401N1803;04.03.1987
W1401N1874;18.01.1991
W1401N2209;09.12.1985
W1401N2233;14.06.1978
W1401N2414;04.10.1972
W1401N2540;31.08.1989
W1401N2548;03.06.1985
W1401N2557;12.10.1995
W1401N2952;12.11.1990
W1401N2968;28.04.1984
W1401N2981;11.01.1981
W1401N3343;09.08.1988
W1401N346;16.10.1978
W1401N3553;07.02.1990
W1401N3620;06.11.1976
W1401N3652;09.04.1992
W1401N3813;14.01.1986
W1401N3824;01.05.1977
W1401N3846;22.06.1979
W1401N4123;29.11.1990
W1401N4360;14.08.1988
W1401N4433;26.02.1972
W1401N4646;26.05.1986
W1401N4714;07.07.1982
W1401N4770;03.07.1990
W1401N4839;11.07.1989
W1401N4903;02.12.1978
W1401N4913;03.10.1987
W1401N4980;18.08.1986
W1401N5020;22.09.1979
W1401N5068;10.07.1999
W1401N5085;26.11.1973
W1401N5136;17.06.1987
W1401N5178;18.04.1978
W1401N5207;15.07.1987
W1401N5246;23.04.1991
W1401N5366;31.10.1991
W1401N5401;28.09.1978
